School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL,SuggestedAuctionValue,LeagifyPosition,ProjectedPointsAboveAverage,ProjectedPointsAboveReplacement,AveragePointsForPosition,ReplacementValueAverageForPosition
Ohio State,Big Ten,207,15,https://d9ioojyvhqpok.cloudfront.net/t0cc17koiq4lypyf6v0bjmb48dl1,,Big Ten,133.84,197,73.16,10
Miami (FL),ACC,150,14,https://d9ioojyvhqpok.cloudfront.net/ua8vtcmx37g6fru3tna1nygak655,,ACC,83,130,67,20
Clemson,ACC,146,16,https://d9ioojyvhqpok.cloudfront.net/qdoiydn8n7rrbe24fh91o35g46a2,,ACC,79,126,67,20
Texas A&M,SEC,135,20,https://d9ioojyvhqpok.cloudfront.net/2zs6v615in0lqkjlrpwr0ss7jal3,,SEC,53.42,99,81.58,36
Indiana,Big Ten,134,15,https://d9ioojyvhqpok.cloudfront.net/wapph05yk3m4c6hzhc4793w94sxj,,Big Ten,60.84,124,73.16,10
Alabama,SEC,127,13,https://d9ioojyvhqpok.cloudfront.net/ipat9gfnm0mjkzxjgjduhgd3dhh5,,SEC,45.42,91,81.58,36
Georgia,SEC,120,14,https://d9ioojyvhqpok.cloudfront.net/lk6cx1kv1jp68409gl92aapm1amw,,SEC,38.42,84,81.58,36
Texas Tech,Big 12,110,12,https://d9ioojyvhqpok.cloudfront.net/kuscl9st1izh66xvf7t3cqs05xlc,,Big 12,47.34,86,62.66,24
Oregon,Big Ten,109,12,https://d9ioojyvhqpok.cloudfront.net/jtm5dpazszqv0w6emkd6479rdrk8,,Big Ten,35.84,99,73.16,10
Penn State,Big Ten,99,16,https://d9ioojyvhqpok.cloudfront.net/r7ka9jaowmh2i9mbty8xvcw3lszi,,Big Ten,25.84,89,73.16,10
Tennessee,SEC,98,12,https://d9ioojyvhqpok.cloudfront.net/xvzdtm1u94la26tuf9s7k9biiobk,,SEC,16.42,62,81.58,36
Notre Dame,FBS - Independent,97,13,https://d9ioojyvhqpok.cloudfront.net/tbs37oz73f8lx0yton630db3mwil,,Flex,64.84,86,32.16,11
LSU,SEC,94,15,https://d9ioojyvhqpok.cloudfront.net/kotupd48marnkuttwxr1ueuusuq4,,SEC,12.42,58,81.58,36
Arizona State,Big 12,86,13,https://d9ioojyvhqpok.cloudfront.net/ki89e84ng0fbkdkof0pb7l8eavl7,,Big 12,23.34,62,62.66,24
Utah,Big 12,77,9,https://d9ioojyvhqpok.cloudfront.net/6knutc24htvta65sc5lynfbx3bag,,Big 12,14.34,53,62.66,24
Florida,SEC,69,12,https://d9ioojyvhqpok.cloudfront.net/36khmjuee0xz2lxwa0xvcpewulbr,,SEC,-12.57,33,81.58,36
Oklahoma,SEC,68,12,https://d9ioojyvhqpok.cloudfront.net/2oxpf3x0lqqyaqu2vusmkrrfpvz4,,SEC,-13.57,32,81.58,36
USC,Big Ten,68,9,https://d9ioojyvhqpok.cloudfront.net/9qzau6lr9d2g4rnpah5m4o5l5wrb,,Big Ten,-5.15,58,73.16,10
Texas,SEC,63,13,https://d9ioojyvhqpok.cloudfront.net/qg9cbgbb8dt3ibmkhhpbnxnmu2ym,,SEC,-18.57,27,81.58,36
Auburn,SEC,61,9,https://d9ioojyvhqpok.cloudfront.net/eleiezsd0lvxbat70oyxvobqj1wy,,SEC,-20.58,25,81.58,36
Missouri,SEC,60,9,https://d9ioojyvhqpok.cloudfront.net/at4tedy432dma8a852zl29mhpl97,,SEC,-21.58,24,81.58,36
Iowa,Big Ten,57,13,https://d9ioojyvhqpok.cloudfront.net/1v4qash6kghlbzawlc9mcktcv6et,,Big Ten,-16.15,47,73.16,10
Michigan,Big Ten,56,12,https://d9ioojyvhqpok.cloudfront.net/q8wl5dk6g7zupims4dtdrh3ssr12,,Big Ten,-17.15,46,73.16,10
Washington,Big Ten,56,7,https://d9ioojyvhqpok.cloudfront.net/ymbx2qwvtd64qbet6aw5rlpvlznq,,Big Ten,-17.15,46,73.16,10
